NAME,median_income_owner,median_income_renter,median_rent,zip_code,ideal_rent,affordability_delta
ZCTA5 00783,23491,16828,564,00783,420.7,-143.3
ZCTA5 00784,23136,12037,411,00784,300.92,-110.07
ZCTA5 00791,29911,16990,500,00791,424.75,-75.25
ZCTA5 00794,25450,15877,467,00794,396.92,-70.08
ZCTA5 00795,27101,12683,537,00795,317.08,-219.92
ZCTA5 00901,60586,18967,626,00901,474.17,-151.83
ZCTA5 00907,56493,26007,933,00907,650.17,-282.83
ZCTA5 00909,42679,16952,642,00909,423.8,-218.2
ZCTA5 00911,57083,24670,705,00911,616.75,-88.25
ZCTA5 00912,44922,18374,639,00912,459.35,-179.65
ZCTA5 00913,57813,3796,238,00913,94.9,-143.1
ZCTA5 00915,18172,10399,469,00915,259.98,-209.02
ZCTA5 00917,31127,11001,543,00917,275.02,-267.98
ZCTA5 00918,64315,15545,530,00918,388.62,-141.38
ZCTA5 00920,38688,17471,743,00920,436.78,-306.22
ZCTA5 00921,35548,13268,597,00921,331.7,-265.3
ZCTA5 00923,30525,8861,494,00923,221.52,-272.48
ZCTA5 00924,35244,10506,481,00924,262.65,-218.35
ZCTA5 00925,30579,10364,567,00925,259.1,-307.9
ZCTA5 00926,47692,18069,683,00926,451.72,-231.28
ZCTA5 00927,54618,25410,569,00927,635.25,66.25
ZCTA5 00949,35370,22662,704,00949,566.55,-137.45
ZCTA5 00952,22982,15203,508,00952,380.08,-127.93
ZCTA5 00953,37822,16573,729,00953,414.32,-314.68
ZCTA5 00956,31745,15935,634,00956,398.38,-235.62
ZCTA5 00957,33832,14561,654,00957,364.02,-289.97
ZCTA5 00959,41421,15683,638,00959,392.08,-245.92
ZCTA5 00961,44742,17596,696,00961,439.9,-256.1
ZCTA5 00962,24243,9862,553,00962,246.55,-306.45
ZCTA5 00965,15988,15365,524,00965,384.12,-139.88
ZCTA5 00966,67879,35904,1041,00966,897.6,-143.4
ZCTA5 00968,66019,41500,977,00968,1037.5,60.5
ZCTA5 00969,65318,22873,924,00969,571.82,-352.18
ZCTA5 00971,36758,21857,646,00971,546.42,-99.58
ZCTA5 00976,43010,20191,607,00976,504.78,-102.23
ZCTA5 00979,36952,30980,976,00979,774.5,-201.5
ZCTA5 00982,30426,16294,659,00982,407.35,-251.65
ZCTA5 00983,38393,21330,620,00983,533.25,-86.75
ZCTA5 00985,38823,16454,559,00985,411.35,-147.65
ZCTA5 00987,42743,23626,752,00987,590.65,-161.35
ZCTA5 01001,92528,52546,1278,01001,1313.65,35.65
ZCTA5 01002,132031,37389,1476,01002,934.72,-541.28
ZCTA5 01005,94661,145231,1394,01005,3630.78,2236.78
ZCTA5 01007,112242,36835,1211,01007,920.88,-290.12
ZCTA5 01010,113606,40469,927,01010,1011.72,84.72
ZCTA5 01011,83583,42083,993,01011,1052.07,59.07
ZCTA5 01012,83438,40114,1022,01012,1002.85,-19.15
ZCTA5 01013,91336,37350,990,01013,933.75,-56.25
ZCTA5 01020,80195,45625,1095,01020,1140.62,45.62
ZCTA5 01022,49712,56056,1671,01022,1401.4,-269.6
ZCTA5 01027,87500,46410,1169,01027,1160.25,-8.75
ZCTA5 01028,115436,42127,1180,01028,1053.18,-126.83
ZCTA5 01030,106764,35129,1124,01030,878.22,-245.78
ZCTA5 01031,113750,29353,1121,01031,733.82,-387.17
ZCTA5 01034,105729,76250,1886,01034,1906.25,20.25
ZCTA5 01035,123529,89034,1625,01035,2225.85,600.85
ZCTA5 01038,121154,55577,1352,01038,1389.42,37.42
ZCTA5 01039,118750,68611,1517,01039,1715.28,198.27
ZCTA5 01040,80690,30945,937,01040,773.62,-163.38
ZCTA5 01050,97222,53214,1173,01050,1330.35,157.35
ZCTA5 01056,89596,41776,1192,01056,1044.4,-147.6
ZCTA5 01057,97000,43996,942,01057,1099.9,157.9
ZCTA5 01060,135400,50448,1435,01060,1261.2,-173.8
ZCTA5 01062,112823,35012,1083,01062,875.3,-207.7
ZCTA5 01068,97614,76875,1361,01068,1921.88,560.88
ZCTA5 01069,79053,36645,890,01069,916.12,26.12
ZCTA5 01071,106458,60250,933,01071,1506.25,573.25
ZCTA5 01072,102039,89583,1539,01072,2239.57,700.57
ZCTA5 01073,121250,29514,1139,01073,737.85,-401.15
ZCTA5 01075,110315,55856,1171,01075,1396.4,225.4
ZCTA5 01077,112225,55278,1243,01077,1381.95,138.95
ZCTA5 01080,92096,76534,1237,01080,1913.35,676.35
ZCTA5 01081,96667,53750,1429,01081,1343.75,-85.25
ZCTA5 01082,85928,27931,1014,01082,698.28,-315.73
ZCTA5 01085,100803,45475,1050,01085,1136.88,86.88
ZCTA5 01089,107531,40768,1038,01089,1019.2,-18.8
ZCTA5 01092,102841,63638,937,01092,1590.95,653.95
ZCTA5 01095,141341,41917,885,01095,1047.92,162.92
ZCTA5 01096,116620,53750,1357,01096,1343.75,-13.25
ZCTA5 01098,92222,56563,533,01098,1414.07,881.07
ZCTA5 01103,79306,20208,1016,01103,505.2,-510.8
ZCTA5 01104,75261,25488,971,01104,637.2,-333.8
ZCTA5 01105,33000,21869,881,01105,546.72,-334.28
ZCTA5 01106,141621,67983,1996,01106,1699.58,-296.42
ZCTA5 01107,88563,19155,858,01107,478.88,-379.12
ZCTA5 01108,88674,29151,1128,01108,728.78,-399.22
ZCTA5 01109,67468,28746,1075,01109,718.65,-356.35
ZCTA5 01118,84381,37115,1241,01118,927.87,-313.13
ZCTA5 01119,73129,29787,1092,01119,744.68,-347.33
ZCTA5 01129,86818,50050,1288,01129,1251.25,-36.75
ZCTA5 01151,52220,50461,1233,01151,1261.52,28.52
ZCTA5 01201,89483,37548,1029,01201,938.7,-90.3
ZCTA5 01220,77500,27178,896,01220,679.45,-216.55
ZCTA5 01223,79762,62750,1438,01223,1568.75,130.75
ZCTA5 01225,71911,101250,1277,01225,2531.25,1254.25
ZCTA5 01226,95221,27180,887,01226,679.5,-207.5
ZCTA5 01230,91875,38792,1106,01230,969.8,-136.2
ZCTA5 01235,78684,36328,948,01235,908.2,-39.8
ZCTA5 01237,87750,60000,1232,01237,1500.0,268.0
ZCTA5 01238,89350,42015,1185,01238,1050.38,-134.62
ZCTA5 01240,118083,45729,1101,01240,1143.22,42.22
ZCTA5 01247,69914,32619,849,01247,815.48,-33.52
